ID	chrom	loc.start	loc.end	CNt	Geno	logratio	ploidy	call	LOH
CO8_colon-Tumor	1	14933	70257586	3	AAB	-0.201577826396529	4	LOSS	0
CO8_colon-Tumor	1	70257870	121310061	2	AA	-0.769248935074842	4	LOSS	1
CO8_colon-Tumor	1	142713042	144621682	4	AAAA	0.00268999817939717	4	NEUTRAL	1
CO8_colon-Tumor	1	144811805	145303980	4	AAAA	0.0476636225221614	4	NEUTRAL	1
CO8_colon-Tumor	1	145304490	147581468	5	AAABB	0.454341612073794	4	GAIN	0
CO8_colon-Tumor	1	147597232	148741756	3	AAA	-0.49202769255905	4	LOSS	1
CO8_colon-Tumor	1	148744647	183077659	5	AAABB	0.454341612073794	4	GAIN	0
CO8_colon-Tumor	1	183079650	198266463	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	1	198288709	202464773	2	AA	-0.769248935074842	4	LOSS	1
CO8_colon-Tumor	1	202528077	249212627	4	AAAA	-0.255449141783724	4	NEUTRAL	1
CO8_colon-Tumor	2	41647	171074008	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	2	171092445	175006792	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	2	175060044	242192781	6	AAABBB	0.103948808462491	4	GAIN	0
CO8_colon-Tumor	3	361508	197894694	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	4	53430	190903688	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	5	140474	180687212	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	6	292619	170892848	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	7	195501	158935315	4	AAAA	0.149295655889705	4	NEUTRAL	1
CO8_colon-Tumor	8	190890	146279479	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	9	117877	36847009	6	AAAABB	0.697948214341385	4	GAIN	0
CO8_colon-Tumor	9	36882141	141071209	5	AAABB	0.454341612073794	4	GAIN	0
CO8_colon-Tumor	10	94732	48902936	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	10	49218364	52103731	6	AAAAAB	0.103948808462491	4	GAIN	0
CO8_colon-Tumor	10	52389908	135373679	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	11	193211	51411914	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	11	51412223	55321823	2	AA	-0.769248935074842	4	LOSS	1
CO8_colon-Tumor	11	55322140	55419265	4	AAAA	0.00268999817939717	4	NEUTRAL	1
CO8_colon-Tumor	11	55432807	134253804	2	AA	-0.769248935074842	4	LOSS	1
CO8_colon-Tumor	12	88240	125398319	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	12	125420170	133781027	5	AAAAB	0.407106617329743	4	GAIN	0
CO8_colon-Tumor	13	19059393	115091867	5	AAABB	0.454341612073794	4	GAIN	0
CO8_colon-Tumor	14	19117137	107283156	2	AB	-0.769248935074842	4	LOSS	0
CO8_colon-Tumor	15	20170150	102516259	2	AA	-0.769248935074842	4	LOSS	1
CO8_colon-Tumor	16	97354	90161669	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	17	6115	21826256	2	AA	-0.769248935074842	4	LOSS	1
CO8_colon-Tumor	17	25309006	81052130	3	AAB	-0.201577826396529	4	LOSS	0
CO8_colon-Tumor	18	47524	77960841	2	AA	-0.769248935074842	4	LOSS	1
CO8_colon-Tumor	19	156855	12638141	3	AAB	-0.201577826396529	4	LOSS	0
CO8_colon-Tumor	19	12662166	24345205	5	AAABB	0.454341612073794	4	GAIN	0
CO8_colon-Tumor	19	29215259	59082605	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	20	68264	62904982	8	AAAAAABB	1.1114892533336	4	GAIN	0
CO8_colon-Tumor	21	9590222	48084282	6	AAABBB	0.103948808462491	4	GAIN	0
CO8_colon-Tumor	22	16255409	28490025	4	AABB	0.149295655889705	4	NEUTRAL	0
CO8_colon-Tumor	22	28492146	31019167	5	AAABB	0.454341612073794	4	GAIN	0
CO8_colon-Tumor	22	31022635	31249602	4	AAAA	0.0476636225221614	4	NEUTRAL	1
CO8_colon-Tumor	22	31262248	51216328	3	AAB	-0.255449141783724	4	LOSS	0
CO8_colon-Tumor	X	2700202	154774707	3	AAA	0.651486864268805	4	LOSS	1
